year_month,total_review,avg_rating,aspek_rasa,aspek_harga,aspek_aplikasi,aspek_pelayanan,aspek_kecepatan,aspek_stok,aspek_pengiriman,aspek_pesanan,neg_ratio_rasa,neg_ratio_harga,neg_ratio_aplikasi,neg_ratio_pelayanan,neg_ratio_kecepatan,neg_ratio_stok,neg_ratio_pengiriman,neg_ratio_pesanan
2025-08,91,4.846153846153846,33,17,10,8,10,2,1,0,0.6666666666666666,0.29411764705882354,0.6,0.875,0.7,0.5,0.0,0.0
2025-09,469,4.842217484008529,182,92,57,25,24,15,6,4,0.5439560439560439,0.44565217391304346,0.6666666666666666,0.56,0.75,0.8,1.0,1.0
2025-10,405,4.866666666666666,155,63,57,27,26,11,2,1,0.5548387096774193,0.4126984126984127,0.7543859649122807,0.6296296296296297,0.6538461538461539,0.6363636363636364,1.0,1.0
2025-11,345,4.860869565217391,141,67,53,24,24,15,4,5,0.6170212765957447,0.4626865671641791,0.8490566037735849,0.6666666666666666,0.8333333333333334,0.7333333333333333,1.0,1.0
2025-12,445,4.829213483146067,190,73,55,43,40,15,3,4,0.5736842105263158,0.5068493150684932,0.6545454545454545,0.813953488372093,0.65,0.6,1.0,1.0
2026-01,463,4.840172786177106,207,72,63,33,32,22,4,14,0.5942028985507246,0.4027777777777778,0.6031746031746031,0.6060606060606061,0.84375,0.6363636363636364,1.0,0.8571428571428571
2026-02,385,4.763636363636364,145,88,53,22,21,14,4,7,0.5655172413793104,0.4431818181818182,0.7547169811320755,0.4090909090909091,0.8571428571428571,0.7857142857142857,0.75,0.7142857142857143
2026-03,464,4.700431034482759,191,80,68,35,37,17,7,13,0.5968586387434555,0.5,0.7205882352941176,0.6,0.7027027027027027,0.8823529411764706,0.8571428571428571,0.9230769230769231
2026-04,678,4.874631268436578,271,86,78,46,45,28,2,11,0.5793357933579336,0.6046511627906976,0.6538461538461539,0.6304347826086957,0.7333333333333333,0.75,0.0,0.8181818181818182
2026-05,701,4.831669044222539,268,113,94,40,43,21,8,15,0.5970149253731343,0.4336283185840708,0.7127659574468085,0.725,0.8372093023255814,0.7142857142857143,0.875,0.6666666666666666
2026-06,439,4.817767653758542,168,67,61,25,25,21,5,7,0.5357142857142857,0.4626865671641791,0.7377049180327869,0.8,0.76,0.7142857142857143,1.0,1.0
